frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
20,0,0.000,0.03,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,0,0.000,0.68,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,0,0.000,0.47,0,0.01,0.00,0.05,0.00,0.75,0.44,0.00,0.43,0.77,0.21,0.00,0.06,0.37,0.00,0.53,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,0,0.000,0.98,1,0.19,0.00,0.05,0.00,1.54,0.84,0.00,0.85,1.61,0.67,0.00,0.15,0.65,0.00,0.95,1.07,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00
24,0,0.000,0.98,1,0.36,0.00,0.05,0.00,2.45,1.35,0.00,1.13,2.54,0.97,0.00,0.15,0.93,0.31,1.34,1.73,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00
25,0,0.000,0.98,1,0.66,0.00,0.00,0.00,2.72,1.62,0.00,1.11,2.82,1.21,0.00,0.09,0.75,0.31,1.16,1.74,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00
26,0,0.000,0.98,1,0.74,0.00,0.00,0.00,3.01,1.94,0.00,1.14,3.03,1.16,0.00,0.00,0.59,0.31,1.28,1.72,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00
27,0,0.000,0.98,1,0.76,0.00,0.00,0.00,2.09,1.57,0.00,1.14,2.61,1.10,0.00,0.44,0.32,0.00,0.91,1.06,0.72,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00
28,0,0.000,0.98,1,0.63,0.00,0.00,0.00,1.07,0.89,0.00,1.04,2.10,0.91,0.00,0.88,0.12,0.00,0.57,0.53,1.39,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
29,0,0.000,0.98,1,0.62,0.00,0.00,0.00,0.00,0.17,0.00,1.01,1.68,0.84,0.00,1.33,0.00,0.00,0.03,0.00,2.19,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
