frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
17,0,0.000,0.98,1,2.25,3.01,0.00,1.41,1.39,0.00,0.00,1.86,3.52,1.63,0.82,2.01,0.39,1.40,1.81,0.28,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,0,0.000,0.98,1,1.60,2.06,0.00,0.87,0.98,0.00,0.00,1.31,2.34,1.24,0.56,1.50,0.26,0.79,1.14,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,0,0.000,0.03,0,0.80,1.02,0.00,0.44,0.49,0.00,0.00,0.67,1.16,0.67,0.29,0.79,0.11,0.34,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,0,0.000,0.03,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,0,0.000,0.68,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,0,0.000,0.47,0,0.00,0.00,0.05,0.00,0.75,0.44,0.00,0.43,0.77,0.21,0.00,0.06,0.38,0.00,0.54,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,0,0.000,0.98,1,0.12,0.00,0.05,0.00,1.54,0.84,0.00,0.85,1.61,0.67,0.00,0.15,0.66,0.00,0.99,0.91,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
24,0,0.000,0.98,1,0.25,0.00,0.05,0.00,2.45,1.35,0.00,1.13,2.54,0.97,0.00,0.15,0.94,0.30,1.40,1.49,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
25,0,0.000,0.98,1,0.51,0.00,0.00,0.00,2.72,1.62,0.00,1.11,2.82,1.21,0.00,0.09,0.77,0.30,1.21,1.50,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
26,0,0.000,0.98,1,0.59,0.00,0.00,0.00,3.01,1.94,0.00,1.14,3.03,1.16,0.00,0.00,0.61,0.30,1.33,1.48,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
