frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,image
1,0,0.0,0.98,1,0.0,0.0,0.0,0.0,2.2,1.3,0.0,1.82,3.57,0.98,0.35,0.27,0.35,0.0,0.2,0.0,0.73,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,anil_clip_001_1.jpg
2,0,0.0,0.98,1,0.0,0.0,0.0,0.0,2.18,1.36,0.0,1.73,3.58,1.09,0.25,0.23,0.3,0.0,0.13,0.0,1.31,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,anil_clip_001_2.jpg
3,0,0.0,0.98,1,0.4,0.22,0.0,0.23,1.74,0.92,0.0,1.62,3.33,1.16,0.18,0.19,0.18,0.0,0.61,0.24,1.36,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,anil_clip_001_3.jpg
4,0,0.0,0.98,1,0.92,0.44,0.0,0.44,1.27,0.5,0.0,1.55,3.12,1.16,0.12,0.22,0.07,0.0,1.16,0.34,1.29,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_002_1.jpg
5,0,0.0,0.98,1,0.92,0.44,0.0,0.44,0.72,0.64,0.0,1.49,2.55,1.08,0.1,0.34,0.0,0.0,1.26,0.62,0.51,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_002_2.jpg
6,0,0.0,0.98,1,0.52,0.22,0.02,0.32,0.95,0.64,0.73,1.63,2.33,1.56,0.48,0.51,0.0,0.47,1.23,0.37,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_002_3.jpg
7,0,0.0,0.88,1,0.0,0.0,0.02,0.31,1.2,0.7,1.49,1.91,2.19,2.04,0.77,0.55,0.0,1.09,1.17,0.28,0.26,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_003_1.jpg
8,0,0.0,0.88,1,0.0,0.0,0.02,0.44,1.51,0.1,2.17,2.05,2.3,2.63,0.98,0.71,0.0,1.75,1.55,0.0,0.36,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_003_2.jpg
9,0,0.0,0.88,1,0.0,0.0,0.0,0.34,1.82,0.94,1.44,1.87,2.53,2.23,0.55,0.48,0.2,1.27,1.59,0.08,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_003_3.jpg
10,0,0.0,0.98,1,0.0,0.0,0.0,0.14,2.15,1.65,0.69,1.62,2.76,1.92,0.26,0.3,0.49,0.66,1.66,0.19,0.64,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,anil_clip_004_1.jpg
