frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,kmeans_cluster,dbscan_cluster,pc1,pc2
74,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.74,0.4,0.0,1.55,3.28,2.02,0.0,0.13,0.0,0.0,0.11,0.22,1.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,-1,1.6533744854525638,-0.4280858121659491
75,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.95,0.14,0.0,1.35,3.29,1.79,0.22,0.51,0.0,0.22,0.11,0.09,1.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,-1,1.285795841984811,-0.3375333044382522
76,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.13,0.33,0.0,1.12,3.26,1.65,0.3,0.86,0.0,0.47,0.03,0.09,3.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-1,1.2616243754433853,-0.39721243140685614
77,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.21,0.24,0.0,0.85,3.07,1.26,0.54,1.15,0.0,0.62,0.0,0.0,3.66,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-1,0.7219500767276716,-0.6077026767524324
78,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.41,0.65,0.09,1.16,2.72,1.8,0.67,1.34,0.18,0.39,0.0,0.0,2.39,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-1,0.8995749227038502,0.03889981457803778
79,0,0.0,0.98,1,0.0,0.0,0.05,0.0,1.58,0.93,0.09,1.54,2.18,1.87,1.36,1.66,0.75,0.15,0.26,0.27,1.05,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,-1,0.3720298013584525,0.850670132647303
80,0,0.0,0.98,1,0.0,0.0,0.19,0.0,1.58,1.26,0.26,1.33,1.6,1.55,1.5,1.87,0.8,0.07,0.26,0.27,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1,-0.23582730428671458,0.6294674688369867
81,0,0.0,0.88,1,0.82,0.88,1.25,0.0,1.02,1.84,0.18,1.11,1.31,0.8,1.15,1.61,0.62,0.07,0.42,0.47,0.15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,-1,-1.387178946610899,0.5983377536739839
82,0,0.0,0.93,1,1.15,1.22,1.94,0.0,0.64,2.6,0.18,0.46,1.04,0.31,0.38,1.2,0.05,0.07,0.36,0.75,0.15,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,-1,-1.6469340273048285,-0.47737334525791486
83,0,0.0,0.98,1,1.54,1.57,2.6,0.0,0.47,3.55,0.0,0.41,1.0,0.23,0.0,0.89,0.0,0.0,0.58,1.38,0.15,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.5418636539566013,-0.4511145607041946
84,0,0.0,0.98,1,0.71,0.69,1.54,0.0,0.45,2.51,0.0,0.16,1.13,0.0,0.0,0.5,0.0,0.0,0.51,1.33,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0836230457352898,-1.9457051786122652
85,0,0.0,0.98,1,0.39,0.35,0.8,0.0,0.25,1.28,0.0,0.16,1.35,0.0,0.0,0.25,0.0,0.0,0.47,0.9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-1,-1.0780595319824586,-2.5128311260009135
86,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.63,0.43,0.05,0.19,0.0,0.0,0.25,0.28,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-1,-1.0121492574039874,-2.875049125512129
87,0,0.0,0.98,1,0.55,0.0,0.47,0.0,0.24,0.12,0.0,0.59,1.34,0.52,0.09,0.19,0.0,0.0,0.64,0.54,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-1,-0.952056726364522,-2.0260256340417917
88,0,0.0,0.93,1,1.17,0.0,0.92,0.0,0.52,0.22,0.0,1.02,1.13,0.7,0.21,0.18,0.0,0.0,1.01,0.65,0.11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,-1,-0.8577848905129388,-1.0566713196076958
89,0,0.0,0.93,1,1.78,0.0,1.22,0.0,0.81,0.22,0.0,1.63,0.84,0.41,0.23,0.06,0.0,0.0,1.51,1.08,0.18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-0.8512357348661632,-0.29418706562572544
90,0,0.0,0.93,1,1.24,0.05,0.95,0.0,0.98,0.94,0.0,1.27,1.01,0.52,0.2,0.26,0.0,0.05,1.27,1.03,0.18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,-1,-0.4465866963615055,-0.6438238251063616
91,0,0.0,0.88,1,0.61,0.2,0.79,0.0,1.16,1.45,0.0,1.07,1.14,0.46,0.07,0.45,0.0,0.25,1.01,1.17,0.07,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-1,-0.2087707029616157,-0.8918756831974514
92,0,0.0,0.88,1,0.0,0.2,0.66,0.0,1.2,1.96,0.0,0.59,1.28,0.32,0.0,0.52,0.0,0.6,0.62,1.19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-1,-0.1855004248767364,-1.4947189932236662
93,0,0.0,0.93,1,0.0,0.15,0.45,0.0,1.07,1.66,0.0,0.86,1.45,0.21,0.02,0.32,0.0,0.55,1.03,1.18,0.26,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-1,0.05198113959725318,-1.334517014345866
94,0,0.0,0.98,1,0.0,0.0,0.17,0.0,0.84,1.62,0.0,0.98,1.61,0.16,0.19,0.17,0.0,0.35,1.29,1.04,0.57,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-1,0.29256995239366973,-1.4281301521544638
95,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.8,1.76,0.0,1.15,1.79,0.25,0.28,0.04,0.0,0.0,1.84,1.04,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,-1,0.8652049250367255,-1.2165932590501578
96,0,0.0,0.98,1,0.0,0.0,0.22,0.0,1.21,1.97,0.0,1.16,1.94,0.77,0.26,0.14,0.18,0.0,1.75,1.19,0.54,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,-1,1.3274109880534146,-0.7032327064863634
97,0,0.0,0.98,1,0.0,0.0,0.42,0.0,1.68,2.15,0.0,1.18,2.11,1.42,0.08,0.28,0.35,0.0,1.72,1.48,0.24,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,-1,1.9585267772619197,-0.12932239408490356
98,0,0.0,0.98,1,0.0,0.0,0.58,0.0,2.02,2.07,0.0,1.21,2.28,1.84,0.0,0.35,0.51,0.0,1.56,1.51,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,-1,2.2983959334294557,0.23696216697022351
99,0,0.0,0.98,1,0.0,0.0,0.38,0.0,1.61,1.34,0.0,1.07,2.32,1.6,0.0,0.38,0.33,0.0,0.99,1.11,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,-1,1.5447050346720836,-0.4030482023205056
100,0,0.0,0.98,1,0.01,0.0,0.18,0.0,1.24,0.57,0.0,1.0,2.47,1.33,0.0,0.23,0.15,0.0,0.5,0.68,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-1,0.9436702140913821,-0.9834438392009839
101,0,0.0,0.98,1,0.03,0.0,0.07,0.0,0.96,0.0,0.0,0.91,2.58,1.32,0.0,0.15,0.0,0.0,0.0,0.3,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,-1,0.5091498777719966,-1.3764705640009052
102,0,0.0,0.98,1,1.03,0.44,0.24,0.0,0.71,0.0,0.0,1.19,2.21,1.03,0.1,0.18,0.0,0.15,0.45,0.21,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,-1,-0.5197564951799684,-0.4632698427751357
103,0,0.0,0.88,1,1.87,0.68,0.37,0.0,0.49,0.0,0.0,1.51,1.64,0.7,0.13,0.7,0.0,0.36,0.71,0.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,-1.717323395016687,0.2990539451626162
104,0,0.0,0.93,1,2.65,0.85,0.53,0.0,0.33,0.0,0.0,1.97,1.26,0.56,0.24,1.11,0.0,0.56,1.1,1.43,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,-2.557392711333678,1.3418487029496526
105,0,0.0,0.93,1,2.41,0.98,0.42,0.06,0.29,0.0,0.16,1.61,0.84,0.47,1.81,2.62,0.0,2.08,1.54,1.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1,-5.042295566236914,3.5081896671907997
106,0,0.0,0.57,0,1.56,0.74,0.28,0.06,0.19,0.0,0.16,0.99,0.51,0.35,1.79,2.08,0.0,1.87,1.27,0.62,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1,-4.684486795029206,1.8940025802016585
107,0,0.0,0.03,0,1.34,1.3,0.09,0.39,0.0,0.0,0.16,0.76,0.04,0.0,3.33,3.33,0.0,3.33,0.89,0.57,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1,-8.072311398812213,3.983607008948012
108,0,0.0,0.57,0,0.56,0.73,0.02,0.33,0.0,0.0,0.0,0.55,0.04,0.0,1.67,1.67,0.0,1.67,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1,-5.261789371881636,0.11515909415147751
109,0,0.0,0.03,0,0.56,0.73,0.13,0.33,0.85,0.8,0.22,0.98,0.81,0.4,1.67,1.67,0.0,1.67,0.26,0.88,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1,-3.6213669045562917,1.3302842580626872
110,0,0.0,0.98,1,0.0,0.0,0.2,0.0,1.72,1.57,0.49,0.93,1.57,0.91,0.0,0.0,0.0,0.0,0.5,0.64,0.71,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,-1,1.4482485877102063,-1.3356715943067237
111,0,0.0,0.98,1,0.0,0.0,0.53,0.0,2.85,2.28,0.51,1.64,2.66,1.38,0.0,0.07,0.02,0.0,1.55,1.09,0.72,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,-1,3.4663520328744113,0.6730472045205166
112,0,0.0,0.98,1,0.0,0.0,0.92,0.0,3.15,2.23,0.39,1.94,3.01,1.55,0.0,0.07,0.02,0.0,2.3,1.07,0.48,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,-1,4.045320107349627,1.5517339461475836
113,0,0.0,0.98,1,0.0,0.0,1.54,0.0,3.08,1.9,0.13,2.29,3.3,1.53,0.0,0.28,0.02,0.0,3.14,1.14,0.23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,-1,4.118686922818853,2.322743441363066
114,0,0.0,0.98,1,0.0,0.0,1.21,0.0,2.47,1.19,0.11,1.98,3.08,1.45,0.0,0.21,0.05,0.06,2.09,0.69,0.22,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,-1,3.0278717479002117,1.2767316962185526
115,0,0.0,0.98,1,0.0,0.0,0.72,0.0,1.8,0.48,0.0,1.66,2.87,1.3,0.0,0.21,0.21,0.2,1.07,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2,-1,1.719440484330462,0.21438712112267982
116,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.45,0.13,0.0,1.24,2.73,1.27,0.0,0.0,0.42,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,-1,0.8430464120023659,-0.7443830760483129
117,0,0.0,0.98,1,0.0,0.0,0.41,0.0,1.56,1.06,0.19,1.47,2.48,1.77,0.0,0.43,0.36,0.45,0.95,1.07,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,-1,1.5559760119347714,0.39028238704801455
118,0,0.0,0.98,1,0.0,0.0,0.79,0.0,1.68,2.05,0.3,1.68,2.22,2.28,0.0,0.91,0.2,0.3,1.83,2.2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,-1,2.2502684029437465,1.3991741334092447
119,0,0.0,0.98,1,0.0,0.0,1.15,0.0,1.8,2.73,0.44,1.81,1.95,2.73,0.01,1.37,0.0,0.0,2.28,2.67,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,-1,2.801653566857674,2.0128737483336505
120,0,0.0,0.98,1,0.07,0.0,0.84,0.0,2.04,2.11,0.25,1.63,2.27,1.98,0.15,0.95,0.0,0.0,2.11,1.61,0.73,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,-1,2.6060446128273393,1.2657390832365627
121,0,0.0,0.98,1,0.14,0.0,0.53,0.0,2.29,1.32,0.14,1.4,2.52,1.19,0.28,0.51,0.0,0.0,2.05,0.48,1.52,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2,-1,2.3936466469525985,0.50520440769567
122,0,0.0,0.98,1,0.28,0.0,0.29,0.0,2.59,0.85,0.0,1.3,2.76,0.44,0.5,0.09,0.0,0.0,2.38,0.08,2.32,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2,-1,2.317088528026582,0.15313036972861804
123,0,0.0,0.98,1,0.22,0.0,0.51,0.0,2.38,1.35,0.0,1.33,2.52,0.77,0.44,0.86,0.0,0.31,1.6,0.3,1.81,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2,-1,1.7184002382363237,0.35844787720937477
124,0,0.0,0.98,1,0.14,0.0,0.7,0.0,2.25,1.9,0.0,1.41,2.3,1.07,0.49,1.66,0.0,0.69,0.79,0.53,1.1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-1,1.0350656254424024,0.7192456582889125
125,0,0.0,0.98,1,0.0,0.0,0.86,0.0,2.14,2.51,0.0,1.43,2.11,1.45,0.37,2.49,0.0,1.03,0.0,0.71,0.47,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,0.579003701954188,0.9591927347247696
126,0,0.0,0.98,1,0.48,0.03,0.54,0.0,1.75,2.22,0.0,1.43,2.12,1.42,0.28,2.02,0.0,0.72,0.36,0.67,0.27,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,0.461930202721279,0.7711034959735608
127,0,0.0,0.98,1,1.02,0.03,0.28,0.0,1.29,2.35,0.0,1.42,2.09,1.41,0.2,1.54,0.0,0.34,0.74,0.72,0.19,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1,0.49105698979408635,0.5285625735566389
128,0,0.0,0.98,1,1.63,0.22,0.0,0.0,0.86,2.19,0.0,1.48,2.13,1.54,0.15,0.94,0.0,0.0,1.11,0.75,0.01,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1,0.38518555429104884,0.6032721969535949
129,0,0.0,0.98,1,1.14,0.19,0.0,0.0,1.53,2.25,0.59,2.1,2.36,1.69,0.15,0.66,0.0,0.0,1.04,0.56,0.37,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-1,1.8591637289674616,1.301094562411605
130,0,0.0,0.98,1,0.61,0.19,0.0,0.0,2.25,2.14,1.3,2.73,2.57,1.88,0.06,0.31,0.0,0.0,0.92,0.29,0.81,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,3.4633853891493516,1.9897960619413855
131,0,0.0,0.98,1,0.0,0.0,0.01,0.0,2.92,1.52,1.89,3.19,2.84,1.72,0.05,0.27,0.0,0.0,0.94,0.0,1.24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,4.642534441261695,2.352665741008688
132,0,0.0,0.98,1,0.0,0.0,0.01,0.0,2.04,0.93,1.44,2.25,2.13,1.46,0.17,0.59,0.13,0.0,0.65,0.04,1.13,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,2.6911628406708155,0.8999394615188179
133,0,0.0,0.98,1,0.01,0.03,0.01,0.01,1.19,0.11,0.73,1.43,1.74,0.98,0.17,0.96,0.13,0.0,0.39,0.04,0.8,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,0.6198922290824206,-0.5860882064371544
134,0,0.0,0.98,1,0.01,0.03,0.0,0.01,0.2,0.0,0.15,0.69,0.9,0.66,0.12,0.89,0.13,0.0,0.0,0.46,0.36,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.1806964443780572,-2.2753314674216245
135,0,0.0,0.98,1,0.01,0.03,0.0,0.08,0.76,0.34,0.01,1.07,1.33,0.84,0.0,0.54,0.09,0.0,0.61,1.26,0.11,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-0.27260428826579564,-1.4371332787466469
136,0,0.0,0.98,1,0.0,0.0,0.0,0.27,1.07,0.49,0.01,1.52,1.51,1.28,0.0,0.88,0.28,0.12,0.61,1.54,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,-1,-0.052638649457263556,-0.29315695987130386
137,0,0.0,0.88,1,0.0,0.0,0.0,0.27,1.68,1.03,0.0,1.78,2.0,1.63,0.0,0.71,0.31,0.12,1.3,1.81,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,-1,1.1385238876434967,0.6795039593339055
138,0,0.0,0.98,1,0.0,0.0,0.02,0.21,1.83,1.29,0.0,1.84,2.12,1.82,0.0,0.79,0.29,0.12,1.36,1.71,0.07,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,-1,1.5447571765198316,0.8842000034190624
139,0,0.0,0.98,1,0.14,0.11,0.02,0.38,1.95,1.29,0.0,1.68,2.03,1.85,0.0,0.08,0.18,0.0,2.17,2.4,0.07,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,-1,1.6694002529606957,1.2078630322188806
140,0,0.0,0.93,1,0.21,0.11,0.07,0.38,2.09,1.52,0.0,1.75,2.18,1.97,0.0,0.08,0.14,0.0,2.02,2.42,0.35,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,-1,1.9481251770124846,1.3541044026067302
141,0,0.0,0.93,1,0.26,0.19,0.05,0.38,1.87,1.31,0.0,1.36,2.21,1.27,0.24,0.65,0.08,0.0,2.03,2.59,0.29,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,-1,0.8808438043272587,1.0039733874684205
142,0,0.0,0.98,1,0.13,0.28,0.05,0.04,1.89,1.76,0.05,1.16,2.39,1.02,0.28,0.65,0.0,0.0,1.53,2.37,0.29,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,-1,1.229305867912739,0.17151904345587735
143,0,0.0,0.98,1,0.22,0.6,0.0,0.08,1.69,1.55,0.1,0.95,2.2,0.5,0.28,0.65,0.0,0.0,1.55,2.41,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,-1,0.36330509870960465,-0.05320040877889538
144,0,0.0,0.98,1,0.17,0.51,0.0,0.09,1.46,1.72,0.1,0.74,1.79,0.74,0.04,0.04,0.0,0.0,1.2,2.35,0.18,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,-1,0.5286931387028083,-0.8257152931204955
145,0,0.0,0.98,1,0.16,0.38,0.0,0.05,1.19,1.57,0.05,0.39,1.57,0.53,0.02,0.04,0.05,0.0,1.25,2.3,0.22,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-1,0.16628639336428952,-1.50242061278656
146,0,0.0,0.98,1,0.0,0.06,0.0,0.01,0.87,1.65,0.0,0.02,1.32,0.59,0.02,0.04,0.05,0.0,0.95,2.55,0.55,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-1,0.052004362822337766,-2.406877708866303
147,0,0.0,0.98,1,0.0,0.09,0.05,0.23,1.0,1.08,0.07,0.55,1.62,0.42,0.02,0.63,0.05,0.0,0.73,1.71,0.38,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-1,-0.29872394898297705,-1.5760883915791501
148,0,0.0,0.98,1,0.0,0.03,0.15,0.39,1.17,0.64,0.13,1.09,1.79,0.31,0.0,1.27,0.0,0.0,0.4,1.0,0.33,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-0.5152745021976044,-0.9124499226304233
149,0,0.0,0.98,1,0.0,0.05,0.26,0.51,1.49,0.1,0.19,1.55,2.24,0.26,0.0,1.62,0.0,0.0,0.27,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-0.45872860452099234,-0.1176807972574178
150,0,0.0,0.93,1,0.0,0.02,0.22,0.28,1.63,0.47,0.4,1.47,2.29,0.53,0.0,1.19,0.0,0.0,0.44,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0.4408556191589454,-0.24526586582042578
